Project Name,Package Name,Architecture Smell,Cause of the Smell
project-1-team-8,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.34. All the dependencies among components: from: com.sismics.reader.ui.adapter to: com.sismics.reader.util; from: com.sismics.reader.ui.adapter to: com.sismics.reader.fragment; from: com.sismics.reader.ui.adapter to: com.sismics.reader.listener; from: com.sismics.reader.ui.adapter to: com.sismics.reader.resource; from: com.sismics.reader.ui.adapter to: com.sismics.android; from: com.sismics.reader.ui.form to: com.sismics.reader.listener; from: com.sismics.reader.ui.form to: com.sismics.reader.ui.form.validator; from: com.sismics.reader.activity to: com.sismics.reader.listener; from: com.sismics.reader.activity to: com.sismics.reader.fragment; from: com.sismics.reader.activity to: com.sismics.reader.ui.adapter; from: com.sismics.reader.activity to: com.sismics.reader.util; from: com.sismics.reader.activity to: com.sismics.reader.constant; from: com.sismics.reader.activity to: com.sismics.reader.provider; from: com.sismics.reader.activity to: com.sismics.reader.model.application; from: com.sismics.reader.activity to: com.sismics.reader.resource; from: com.sismics.reader.activity to: com.sismics.android; from: com.sismics.reader.activity to: com.sismics.reader.ui.form; from: com.sismics.reader.activity to: com.sismics.android.util; from: com.sismics.reader.model.application to: com.sismics.reader.listener; from: com.sismics.reader.model.application to: com.sismics.reader.util; from: com.sismics.reader.model.application to: com.sismics.reader.resource; from: com.sismics.reader.resource to: com.sismics.reader.util; from: com.sismics.reader.fragment to: com.sismics.reader.resource; from: com.sismics.reader.fragment to: com.sismics.reader.util; from: com.sismics.reader.fragment to: com.sismics.reader.provider; from: com.sismics.reader.fragment to: com.sismics.reader.listener; from: com.sismics.reader.fragment to: com.sismics.reader.ui.adapter; from: com.sismics.reader.fragment to: com.sismics.reader.constant; from: com.sismics.reader.fragment to: com.sismics.android; from: com.sismics.reader to: com.sismics.reader.util; from: com.sismics.reader to: com.sismics.reader.model.application; from: com.sismics.reader to: com.sismics.util.context; from: com.sismics.reader to: com.sismics.util.jpa; from: com.sismics.reader.core.model.jpa to: com.sismics.reader.core.constant; from: com.sismics.reader.core.model.context to: com.sismics.reader.core.service; from: com.sismics.reader.core.model.context to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.core.model.context to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.model.context to: com.sismics.util; from: com.sismics.reader.core.model.context to: com.sismics.reader.core.constant; from: com.sismics.reader.core.service to: com.sismics.reader.core.util; from: com.sismics.reader.core.service to: com.sismics.reader.core.util.jpa; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.lucene; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.jpa.criteria; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.core.service to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.service to: com.sismics.reader.core.event; from: com.sismics.reader.core.service to: com.sismics.reader.core.model.context; from: com.sismics.reader.core.service to: com.sismics.reader.core.constant; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.file.rss; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.jpa.dto; from: com.sismics.reader.core.service to: com.sismics.reader.core.util.sanitizer; from: com.sismics.reader.core.service to: com.sismics.reader.core.dao.file.html; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.event; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.lucene; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.util; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.file.opml; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.file.json; from: com.sismics.reader.core.listener.async to: com.sismics.util.mime; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.jpa.criteria; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.service; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.model.context; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.jpa.dto; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.file.rss; from: com.sismics.reader.core.listener.async to: com.sismics.reader.core.dao.file.html; from: com.sismics.reader.core.event to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.dao.lucene to: com.sismics.reader.core.util; from: com.sismics.reader.core.dao.lucene to: com.sismics.reader.core.util.jpa; from: com.sismics.reader.core.dao.lucene to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.dao.lucene to: com.sismics.reader.core.model.context; from: com.sismics.reader.core.dao.file.rss to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.dao.file.rss to: com.sismics.reader.core.util; from: com.sismics.reader.core.dao.file.rss to: com.sismics.util; from: com.sismics.reader.core.dao.file.json to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.dao.file.json to: com.sismics.util; from: com.sismics.reader.core.dao.file.html to: com.sismics.util; from: com.sismics.reader.core.dao.file.html to: com.sismics.reader.core.util.http; from: com.sismics.reader.core.dao.file.html to: com.sismics.util.mime; from: com.sismics.reader.core.dao.jpa to: com.sismics.reader.core.constant; from: com.sismics.reader.core.dao.jpa to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.dao.jpa to: com.sismics.util.context; from: com.sismics.reader.core.dao.jpa to: com.sismics.reader.core.dao.jpa.criteria; from: com.sismics.reader.core.dao.jpa to: com.sismics.util.jpa.filter; from: com.sismics.reader.core.dao.jpa to: com.sismics.util.jpa; from: com.sismics.reader.core.dao.jpa to: com.sismics.reader.core.util.jpa; from: com.sismics.reader.core.dao.jpa to: com.sismics.reader.core.util; from: com.sismics.reader.core.dao.jpa.mapper to: com.sismics.reader.core.dao.jpa.dto; from: com.sismics.reader.core.util to: com.sismics.util.context; from: com.sismics.reader.core.util to: com.sismics.util.jpa; from: com.sismics.reader.core.util to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.core.util to: com.sismics.util; from: com.sismics.reader.core.util to: com.sismics.reader.core.constant; from: com.sismics.reader.core.util to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.core.util to: com.sismics.reader.core.model.context; from: com.sismics.reader.core.util.sanitizer to: com.sismics.util; from: com.sismics.reader.core.util.jpa to: com.sismics.util.jpa; from: com.sismics.reader.core.util.jpa to: com.sismics.util.context; from: com.sismics.util to: com.sismics.reader.core.model.jpa; from: com.sismics.util to: com.sismics.util.adblock; from: com.sismics.util to: com.sismics.reader.core.dao.jpa; from: com.sismics.util to: com.sismics.reader.core.constant; from: com.sismics.util to: com.sismics.reader.core.dao.file.rss; from: com.sismics.util to: com.sismics.reader.core.util.sanitizer; from: com.sismics.util to: com.sismics.util.cert; from: com.sismics.util.log4j to: com.sismics.reader.core.util.jpa; from: com.sismics.util.jpa to: com.sismics.reader.core.util; from: com.sismics.util.jpa to: com.sismics.util; from: com.sismics.util.jpa to: com.sismics.reader.core.util.jpa; from: com.sismics.util.jpa to: com.sismics.util.jpa.filter; from: com.sismics.reader.agent.ui to: com.sismics.reader.agent; from: com.sismics.reader.agent.ui to: com.sismics.util; from: com.sismics.reader.agent.ui to: com.sismics.reader.agent.deployer; from: com.sismics.reader.agent.ui to: com.sismics.reader.agent.model; from: com.sismics.reader.agent.model to: com.sismics.util; from: com.sismics.reader.agent to: com.sismics.reader.agent.ui; from: com.sismics.reader.agent to: com.sismics.reader.agent.deployer; from: com.sismics.reader.agent to: com.sismics.reader.agent.model; from: com.sismics.reader.agent to: com.sismics.util; from: com.sismics.reader.agent.deployer to: com.sismics.reader.agent; from: com.sismics.reader.agent.deployer to: com.sismics.reader.agent.model; from: com.sismics.reader.agent.deployer to: com.sismics.util; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.dao.jpa.criteria; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.dao.jpa.dto; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.util.jpa; from: com.sismics.reader.rest.resource to: com.sismics.reader.rest.assembler; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.service; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.model.context; from: com.sismics.reader.rest.resource to: com.sismics.rest.util; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.util; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.event; from: com.sismics.reader.rest.resource to: com.sismics.reader.rest.constant; from: com.sismics.reader.rest.resource to: com.sismics.security; from: com.sismics.reader.rest.resource to: com.sismics.reader.rest.util; from: com.sismics.reader.rest.resource to: com.sismics.reader.rest.dao; from: com.sismics.reader.rest.resource to: com.sismics.util; from: com.sismics.reader.rest.resource to: com.sismics.util.log4j; from: com.sismics.reader.rest.resource to: com.sismics.reader.core.constant; from: com.sismics.reader.rest.resource to: com.sismics.util.filter; from: com.sismics.reader.rest.util to: com.sismics.security; from: com.sismics.reader.rest.util to: com.sismics.reader.rest.constant; from: com.sismics.reader.rest.util to: com.sismics.util.filter; from: com.sismics.reader.rest.util to: com.sismics.reader.rest.dao; from: com.sismics.reader.rest.util to: com.sismics.reader.core.dao.jpa; from: com.sismics.reader.rest.util to: com.sismics.reader.core.model.jpa; from: com.sismics.reader.rest.util to: com.sismics.rest.util; from: com.sismics.reader.rest.assembler to: com.sismics.reader.core.dao.jpa.dto; from: com.sismics.reader.rest to: com.sismics.util.filter; from: com.sismics.reader.rest to: com.sismics.reader.core.model.context; from: com.sismics.reader.rest to: com.sismics.reader.core.util; from: com.sismics.reader.rest to: com.sismics.reader.rest.descriptor; from: com.sismics.util.filter to: com.sismics.reader.core.dao.jpa; from: com.sismics.util.filter to: com.sismics.reader.core.model.jpa; from: com.sismics.util.filter to: com.sismics.security; from: com.sismics.util.filter to: com.sismics.util; from: com.sismics.util.filter to: com.sismics.reader.core.constant; from: com.sismics.util.filter to: com.sismics.reader.core.util; from: com.sismics.util.filter to: com.sismics.util.context; from: com.sismics.util.filter to: com.sismics.util.jpa; from: com.sismics.reader.rest.filter to: com.sismics.util.filter; from: com.sismics.reader.rest.descriptor to: com.sismics.util.filter.
project-1-team-8,com.sismics.reader.ui.adapter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.fragment
project-1-team-8,com.sismics.reader.ui.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SubscriptionAdapter; SubscriptionItem]; [ArticlesAdapter; SharedArticlesAdapterHelper; ArticlesPagerAdapter]; [ArticlesAdapter.ViewHolder]; [CategoryAdapter]; [CategoryAdapter.Category]; [CategoryAdapter.State]; [CategoryAdapter.Type]. LCC (Lack of Component Cohesion) = 0.7
project-1-team-8,com.sismics.reader.activity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MainActivity]; [LicenseActivity]; [CategoriesActivity]; [SettingsActivity]; [ArticleActivity]; [LoginActivity]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.resource,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StarredResource; BaseResource; ArticleResource; CategoryResource; UserResource; SubscriptionResource]; [BaseResource.MySSLSocketFactory]. LCC (Lack of Component Cohesion) = 0.29
project-1-team-8,com.sismics.reader.fragment,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddSubscriptionDialogFragment]; [AddSubscriptionDialogFragment.AddSubscriptionDialogListener]; [NavigationFragment; ArticlesDefaultFragment; ArticlesFragment]; [SettingsFragment]; [ArticleFragment]. LCC (Lack of Component Cohesion) = 0.71
project-1-team-8,com.sismics.reader.fragment,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.fragment; com.sismics.reader.ui.adapter; com.sismics.reader.fragment
project-1-team-8,com.sismics.reader.core.model.jpa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticationToken]; [FeedSynchronization]; [Feed]; [Category]; [FeedSubscription]; [User]; [RoleBaseFunction]; [Article]; [Job]; [Role]; [BaseFunction]; [Config]; [JobEvent]; [UserArticle]; [Locale]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.model.context,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.core.service; com.sismics.reader.core.dao.jpa; com.sismics.util
project-1-team-8,com.sismics.reader.core.model.context,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.model.context; com.sismics.reader.core.service; com.sismics.reader.core.model.context
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.context; com.sismics.reader.core.event.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.core.listener.async,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArticleDeletedAsyncListener]; [ArticleUpdatedAsyncListener]; [RebuildIndexAsyncListener]; [SubscriptionImportAsyncListener]; [ArticleCreatedAsyncListener]; [FaviconUpdateRequestedAsyncListener]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.listener.async,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.lucene; com.sismics.reader.core.event.
project-1-team-8,com.sismics.reader.core.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SubscriptionImportedEvent]; [ArticleCreatedAsyncEvent]; [ArticleUpdatedAsyncEvent]; [FaviconUpdateRequestedEvent]; [RebuildIndexAsyncEvent]; [ArticleDeletedAsyncEvent]; [PasswordChangedEvent]; [UserCreatedEvent]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.lucene,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.lucene; com.sismics.reader.core.model.context; com.sismics.reader.core.service; com.sismics.reader.core.dao.lucene
project-1-team-8,com.sismics.reader.core.dao.file.rss,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AtomUrlGuesser; RssReader; TestRssReader; GuidFixer; XmlReader]; [AtomLink]; [RssReader.FeedType]; [RssReader.Element]. LCC (Lack of Component Cohesion) = 0.5
project-1-team-8,com.sismics.reader.core.dao.file.rss,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.file.rss; com.sismics.util; com.sismics.reader.core.dao.file.rss
project-1-team-8,com.sismics.reader.core.dao.file.html,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RssExtractor; TestRssExtractor]; [FaviconExtractor; FaviconDownloader; TestFaviconExtractor; TestFaviconDownloader]; [FeedChooserStrategy]. LCC (Lack of Component Cohesion) = 0.43
project-1-team-8,com.sismics.reader.core.dao.jpa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigDao]; [JobDao]; [RoleBaseFunctionDao]; [FeedSynchronizationDao]; [JobEventDao]; [ArticleDao]; [UserDao; TestJpa]; [UserArticleDao]; [AuthenticationTokenDao]; [FeedDao]; [LocaleDao]; [FeedSubscriptionDao]; [CategoryDao]. LCC (Lack of Component Cohesion) = 0.93
project-1-team-8,com.sismics.reader.core.dao.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.util.context.
project-1-team-8,com.sismics.reader.core.dao.jpa,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.jpa; com.sismics.reader.core.util; com.sismics.reader.core.dao.jpa
project-1-team-8,com.sismics.reader.core.dao.jpa.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserArticleDto]; [JobDto]; [ArticleDto]; [FeedDto]; [JobEventDto]; [UserDto]; [FeedSubscriptionDto]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.criteria,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FeedCriteria]; [JobCriteria]; [ArticleCriteria]; [JobEventCriteria]; [UserCriteria]; [FeedSubscriptionCriteria]; [UserArticleCriteria]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserMapper]; [UserArticleMapper]; [FeedSubscriptionMapper]; [JobMapper]; [ArticleMapper]; [JobEventMapper]; [FeedMapper]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.jpa.dto; com.sismics.util.jpa.
project-1-team-8,com.sismics.reader.core.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util.jpa; com.sismics.reader.core.dao.jpa
project-1-team-8,com.sismics.reader.core.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TransactionUtil]; [UserUtil]; [DirectoryUtil]; [ConfigUtil]; [StreamUtil]; [EntityManagerUtil]; [LuceneUtil]; [LuceneUtil.LuceneRunnable]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util; com.sismics.util.jpa; com.sismics.reader.core.util
project-1-team-8,com.sismics.reader.core.util.sanitizer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util
project-1-team-8,com.sismics.reader.core.util.sanitizer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util.sanitizer; com.sismics.util; com.sismics.reader.core.util.sanitizer
project-1-team-8,com.sismics.reader.core.util.jpa,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util.jpa
project-1-team-8,com.sismics.reader.core.util.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.util.jpa; com.sismics.util.context.
project-1-team-8,com.sismics.reader.core.util.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.util.jpa; com.sismics.util.jpa.filter.
project-1-team-8,com.sismics.reader.core.util.jpa,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util.jpa; com.sismics.util.jpa; com.sismics.reader.core.util.jpa
project-1-team-8,com.sismics.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.core.dao.jpa; com.sismics.reader.core.dao.file.rss
project-1-team-8,com.sismics.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UrlUtil; TestArticleSanitizer; TestUrlUtil]; [NetworkUtil; TestNetworkUtil]; [ResourceUtil; TestResourceUtil]; [DateUtil; TestDateUtil]; [AdblockUtil; TestAdblockUtil]; [MessageUtil]; [LocaleUtil]; [HttpUtil]; [EnvironmentUtil]; [JsonValidationUtil]; [TestTextSanitizer]; [TestCertUtil]; [MessageUtil]; [EnvironmentUtil]. LCC (Lack of Component Cohesion) = 0.7
project-1-team-8,com.sismics.util,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.file.rss; com.sismics.reader.core.model.jpa; com.sismics.reader.core.util.sanitizer.
project-1-team-8,com.sismics.util.jpa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DialectUtil; DbOpenHelper; EMF; SessionUtil; SuppliedConnectionProviderConnectionHelper]; [ManagedProviderConnectionHelper]; [ResultMapper; QueryParam; BaseDao]. LCC (Lack of Component Cohesion) = 0.33
project-1-team-8,com.sismics.reader.agent.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util
project-1-team-8,com.sismics.reader.agent,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.agent.ui
project-1-team-8,com.sismics.reader.agent,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.agent; com.sismics.reader.agent.ui; com.sismics.reader.agent
project-1-team-8,com.sismics.reader.agent,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.agent; com.sismics.reader.agent.deployer; com.sismics.reader.agent
project-1-team-8,com.sismics.reader.agent.deployer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.agent
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.rest.assembler; com.sismics.reader.core.util.jpa; com.sismics.security; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.security; com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto; com.sismics.reader.core.dao.jpa; com.sismics.security.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa; com.sismics.reader.core.model.context; com.sismics.reader.core.event.
