Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.dao.file.opml.Outline.getOutlineList; com.sismics.reader.core.dao.file.opml.OpmlReader.getOutlineList; com.sismics.reader.core.dao.file.opml.Outline.getType; com.sismics.reader.core.dao.file.opml.Outline.getXmlUrl; com.sismics.reader.core.dao.file.opml.Outline.getTitle; com.sismics.reader.core.dao.file.opml.OpmlReader.read; com.sismics.reader.core.dao.file.opml.Outline.getText; com.sismics.reader.core.dao.file.opml.OpmlFlattener.flatten; com.sismics.reader.core.dao.file.opml.Outline.getHtmlUrl
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.dao.file.opml.Outline.getOutlineList; com.sismics.reader.core.dao.file.opml.OpmlReader.getOutlineList; com.sismics.reader.core.dao.file.opml.Outline.getType; com.sismics.reader.core.dao.file.opml.Outline.getXmlUrl; com.sismics.reader.core.dao.file.opml.Outline.getTitle; com.sismics.reader.core.dao.file.opml.OpmlReader.read; com.sismics.reader.core.dao.file.opml.Outline.getText; com.sismics.reader.core.dao.file.opml.OpmlFlattener.flatten; com.sismics.reader.core.dao.file.opml.Outline.getHtmlUrl
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.dao.file.opml.Outline.getOutlineList; com.sismics.reader.core.dao.file.opml.OpmlReader.getOutlineList; com.sismics.reader.core.dao.file.opml.Outline.getType; com.sismics.reader.core.dao.file.opml.Outline.getXmlUrl; com.sismics.reader.core.dao.file.opml.Outline.getTitle; com.sismics.reader.core.dao.file.opml.OpmlReader.read; com.sismics.reader.core.dao.file.opml.Outline.getText; com.sismics.reader.core.dao.file.opml.OpmlFlattener.flatten; com.sismics.reader.core.dao.file.opml.Outline.getHtmlUrl
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderGizmodoTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderGizmodoTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderApodTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderApodTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getEnclosureUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getEnclosureType; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate; com.sismics.reader.core.model.jpa.Article.getEnclosureLength
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getBaseUri; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Article.getBaseUri; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloperWorksTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
